,Name,Latitude,Longitude,datum,afstand,te laat,uur,minuut,seconde
6533653,Paphos International Airport,34.7179985,32.4856987,Zomer,2442938.487910984,green,2.7143760976788713,42.862565860732275,51.75395164393633
6539010,Dubrovnik Airport,42.56140137,18.26819992,Herfst,939021.3070235036,green,1.043357007803893,2.6014204682335724,36.08522809401434
6539011,Dubrovnik Airport,42.56140137,18.26819992,Lente,939021.3070235036,green,1.043357007803893,2.6014204682335724,36.08522809401434
6539012,Dubrovnik Airport,42.56140137,18.26819992,Winter,939021.3070235035,green,1.0433570078038927,2.6014204682335644,36.08522809401387
6539013,Dubrovnik Airport,42.56140137,18.26819992,Zomer,939021.3070235035,green,1.0433570078038927,2.6014204682335644,36.08522809401387
6553450,Pula Airport,44.89350128,13.9222002,Herfst,503595.6447934031,green,0.5595507164371145,33.57304298622687,34.382579173612406
6553451,Pula Airport,44.89350128,13.9222002,Lente,503595.6447934031,green,0.5595507164371145,33.57304298622687,34.382579173612406
6553452,Pula Airport,44.89350128,13.9222002,Winter,503595.6447934031,green,0.5595507164371145,33.57304298622687,34.382579173612406
6553453,Pula Airport,44.89350128,13.9222002,Zomer,503595.6447934031,green,0.5595507164371145,33.57304298622687,34.382579173612406
6567890,Split Airport,43.53889847,16.29800034,Herfst,745834.1578065662,green,0.8287046197850736,49.72227718710442,43.33663122626487
6567891,Split Airport,43.53889847,16.29800034,Lente,745834.1578065662,green,0.8287046197850736,49.72227718710442,43.33663122626487
6567892,Split Airport,43.53889847,16.29800034,Winter,745834.1578065662,green,0.8287046197850736,49.72227718710442,43.33663122626487
6567893,Split Airport,43.53889847,16.29800034,Zomer,745834.1578065662,green,0.8287046197850736,49.72227718710442,43.33663122626487
6582330,Zagreb Airport,45.74290085,16.06879997,Herfst,606791.3106522062,green,0.6742125673913402,40.45275404348041,27.165242608824745
6582331,Zagreb Airport,45.74290085,16.06879997,Lente,606791.3106522062,green,0.6742125673913402,40.45275404348041,27.165242608824745
6582332,Zagreb Airport,45.74290085,16.06879997,Winter,606791.3106522062,green,0.6742125673913402,40.45275404348041,27.165242608824745
6582333,Zagreb Airport,45.74290085,16.06879997,Zomer,606791.3106522062,green,0.6742125673913402,40.45275404348041,27.165242608824745
6596770,Zemunik Airport,44.10829926,15.34669971,Herfst,646579.3214370805,green,0.7184214682634228,43.10528809580537,6.317285748322028
6596771,Zemunik Airport,44.10829926,15.34669971,Lente,646579.3214370805,green,0.7184214682634228,43.10528809580537,6.317285748322028
6596772,Zemunik Airport,44.10829926,15.34669971,Winter,646579.3214370805,green,0.7184214682634228,43.10528809580537,6.317285748322028
6596773,Zemunik Airport,44.10829926,15.34669971,Zomer,646579.3214370805,green,0.7184214682634228,43.10528809580537,6.317285748322028
6611210,Alicante International Airport,38.28219986,-0.558156013,Herfst,1260763.2893116449,green,1.4008480992351608,24.050885954109656,3.053157246579416
6611211,Alicante International Airport,38.28219986,-0.558156013,Lente,1260763.2893116449,orange,1.4008480992351608,24.050885954109656,3.053157246579416
6611212,Alicante International Airport,38.28219986,-0.558156013,Winter,1260763.2893116446,green,1.4008480992351606,24.050885954109642,3.053157246578485
